timestamp,load,ram_usage
1220000,0.04,0.35672113
1720000,0.02,0.35855177
2220000,0.04,0.35855043
2720000,0.04,0.3585455
3220000,0.02,0.35855997
3720000,0.04,0.35855532
4220000,0.04,0.35854173
4720000,0.04,0.356861
5220000,0.02,0.35700315
5720000,0.04,0.3569887
6220000,0.04,0.35697818
6720000,0.02,0.3569826
7220000,0.04,0.35699373
7720000,0.04,0.356992
8220000,0.04,0.35697964
8720000,0.04,0.35700107
9220000,0.04,0.3570056
9720000,0.02,0.3570143
10220000,0.04,0.3570094
10720000,0.02,0.35702226
11220000,0.04,0.3570263
11720000,0.04,0.35703254
12220000,0.04,0.35703745
12720000,0.04,0.3570367
13220000,0.02,0.35703844
13720000,0.04,0.35703707
14220000,0.06,0.3570198
14720000,0.02,0.35702643
15220000,0.04,0.35703707
15720000,0.04,0.3570279
16220000,0.02,0.35701528
16720000,0.06,0.35703033
17220000,0.02,0.35703182
17720000,0.02,0.35704297
18220000,0.06,0.3570344
18720000,0.04,0.3570394
19220000,0.02,0.35707358
19720000,0.04,0.35711277
20220000,0.04,0.35715353
20720000,0.04,0.35723767
21220000,0.04,0.35726067
21720000,0.04,0.35727245
22220000,0.02,0.35728407
22720000,0.04,0.3572749
23220000,0.04,0.35767105
23720000,0.04,0.3581904
24220000,0.04,0.35819432
24720000,0.02,0.3581992
25220000,0.04,0.3582095
25720000,0.04,0.35820878
26220000,0.04,0.35819688
26720000,0.04,0.35820216
27220000,0.04,0.3582133
27720000,0.04,0.35820326
28220000,0.02,0.35819995
28720000,0.04,0.3582236
29220000,0.04,0.35821953
29720000,0.04,0.3582215
30220000,0.04,0.35821366
30720000,0.04,0.35830244
31220000,0.04,0.35827672
31720000,0.04,0.35879153
32220000,0.0,0.35881162
32720000,0.04,0.358812
33220000,0.04,0.3587902
33720000,0.04,0.35879523
34220000,0.04,0.35878298
34720000,0.04,0.3583017
35220000,0.04,0.35831395
35720000,0.04,0.3583028
36220000,0.02,0.35830146
36720000,0.04,0.35828984
37220000,0.04,0.3582869
37720000,0.04,0.35829252
38220000,0.04,0.3577689
38720000,0.04,0.35765353
39220000,0.04,0.35761985
39720000,0.04,0.35765526
40220000,0.04,0.3576588
40720000,0.04,0.35772455
41220000,0.02,0.3576828
41720000,0.04,0.3576894
42220000,0.04,0.357685
42720000,0.02,0.3576926
43220000,0.04,0.35768
43720000,0.04,0.35767204
44220000,0.04,0.35766652
44720000,0.04,0.35767227
45220000,0.02,0.3576544
45720000,0.04,0.35765317
46220000,0.04,0.35766432
46720000,0.04,0.35767728
47220000,0.04,0.35767338
47720000,0.02,0.3576877
48220000,0.06,0.35768917
48720000,0.04,0.35767227
49220000,0.02,0.35765868
49720000,0.02,0.35764924
50220000,0.04,0.35763946
50720000,0.04,0.35768476
51220000,0.04,0.3577952
51720000,0.04,0.3577831
52220000,0.04,0.357805
52720000,0.04,0.3578077
53220000,0.02,0.35779276
53720000,0.04,0.35780513
54220000,0.04,0.35781848
54720000,0.04,0.357812
55220000,0.04,0.35788816
55720000,0.04,0.3585246
56220000,0.04,0.3585787
56720000,0.04,0.35859928
57220000,0.02,0.35858765
57720000,0.06,0.35857773
58220000,0.04,0.35855827
58720000,0.02,0.35855886
59220000,0.04,0.3585612
59720000,0.04,0.35854992
60220000,0.04,0.35853928
60720000,0.04,0.3585296
61220000,0.04,0.35851932
61720000,0.019607844,0.35850903
62220000,0.04,0.35848993
62720000,0.04,0.35847867
63220000,0.04,0.35849285
63720000,0.04,0.35849103
64220000,0.04,0.3584947
64720000,0.04,0.35848588
65220000,0.04,0.35849643
65720000,0.04,0.35849422
66220000,0.04,0.3584968
66720000,0.04,0.3585558
67220000,0.04,0.35855237
67720000,0.02,0.3585476
68220000,0.04,0.35853156
68720000,0.04,0.35859329
69220000,0.04,0.35859364
69720000,0.04,0.3586141
70220000,0.04,0.3586048
70720000,0.02,0.35859635
71220000,0.04,0.3586092
71720000,0.04,0.3585994
72220000,0.04,0.3586255
72720000,0.04,0.3586539
73220000,0.04,0.358643
73720000,0.02,0.35864764
74220000,0.04,0.35861972
74720000,0.04,0.35861862
75220000,0.04,0.35865083
75720000,0.04,0.3586496
76220000,0.04,0.35865244
76720000,0.04,0.35872638
77220000,0.04,0.3587188
77720000,0.04,0.35871977
78220000,0.04,0.35872456
78720000,0.04,0.35875773
79220000,0.04,0.35877463
79720000,0.04,0.35877293
80220000,0.02,0.35875344
80720000,0.04,0.35874477
81220000,0.04,0.35874623
81720000,0.04,0.35878333
82220000,0.02,0.35878554
82720000,0.04,0.35878003
83220000,0.04,0.358794
83720000,0.06,0.35879314
84220000,0.02,0.35878688
84720000,0.04,0.35877734
85220000,0.04,0.35877195
85720000,0.04,0.358764
86220000,0.04,0.35876828
86720000,0.04,0.3587542
87220000,0.02,0.35876778
87720000,0.04,0.35878077
88220000,0.04,0.35877037
88720000,0.04,0.3587597
89220000,0.04,0.35876277
89720000,0.02,0.35875222
90220000,0.06,0.3587504
90720000,0.02,0.35873985
91220000,0.04,0.35874367
91720000,0.04,0.35880256
92220000,0.04,0.35885093
92720000,0.02,0.3588486
93220000,0.04,0.3588349
93720000,0.04,0.35883343
94220000,0.04,0.35888425
94720000,0.04,0.35888058
95220000,0.04,0.35896322
95720000,0.04,0.35892048
96220000,0.04,0.35936344
96720000,0.04,0.35943434
97220000,0.04,0.35945526
97720000,0.02,0.3594528
98220000,0.04,0.35942551
98720000,0.04,0.35943532
99220000,0.06,0.35838988
99720000,0.04,0.3584549
100220000,0.02,0.35845244
100720000,0.04,0.3584576
101220000,0.04,0.3584505
101720000,0.02,0.358457
102220000,0.04,0.35850596
102720000,0.04,0.3585198
103220000,0.04,0.3585275
103720000,0.04,0.35857785
104220000,0.04,0.35859144
104720000,0.04,0.35859793
105220000,0.04,0.35862535
105720000,0.04,0.35861483
106220000,0.04,0.35861042
106720000,0.04,0.35867912
