timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
340000,256000,256000,0,0.0,0.0,0.25,0.25,-0.00010163891,2.8856424e-05,0.500009,0.500009,2.295618e-09,1.8503961e-10,0,0,0,0
544000,464000,464000,0,0.0,0.0,0.25,0.25,-0.06113447,-0.04427299,101.857506,101.85763,4.076963e-06,2.138167e-06,0,1,0,1
752000,672000,672000,0,0.0,0.0,0.25,0.25,-0.23006266,-0.213827,1.9658012,1.9675723,0.0029916458,0.002581974,0,1,0,1
960000,880000,880000,0,0.0,0.0,0.25,0.25,-0.2653639,-0.27209848,1.1794567,1.1813052,0.006633751,0.006963821,0,1,0,1
1168000,1088000,1088000,0,0.0,0.0,0.25,0.25,-0.33595628,-0.36226803,0.7802997,0.783055,0.01607169,0.018621955,0,1,0,1
1376000,1296000,1296000,0,0.0,0.0,0.25,0.25,-0.4449782,-0.49483767,0.62111807,0.62574375,0.035421,0.043479692,0,1,0,1
1584000,1504000,1504000,0,0.0,0.0,0.25,0.25,-0.56677973,-0.6480726,0.55569446,0.5626459,0.06423179,0.08294108,0,1,0,1
1792000,1712000,1712000,0,0.0,0.0,0.25,0.25,-0.66506755,-0.7867859,0.5409493,0.5491272,0.090851575,0.12525575,0,1,0,1
2000000,1920000,1920000,0,0.0,0.0,0.25,0.25,-0.6840542,-0.8551839,0.5565096,0.56267995,0.09342559,0.14441593,0,1,0,1
2208000,2128000,2128000,0,0.0,0.0,0.25,0.25,-0.5836519,-0.79750484,0.5808288,0.58186686,0.065165415,0.12145085,0,1,0,1
2416000,2336000,2336000,0,0.0,0.0,0.25,0.25,-0.38473657,-0.60067415,0.59434175,0.59234893,0.027672485,0.0676796,0,1,0,1
2624000,2544000,2544000,0,0.0,0.0,0.25,0.25,-0.18184756,-0.32296216,0.59059346,0.58950126,0.006221338,0.01965966,0,1,0,1
2832000,2752000,2752000,0,0.0,0.0,0.25,0.25,-0.0494815,-0.04607123,0.5764661,0.5774894,0.00047192117,0.00040838815,0,1,0,1
3040000,2960000,2960000,0,0.0,0.0,0.25,0.25,0.004471587,0.18285878,0.5609107,0.5614927,3.9608385e-06,0.0066167545,0,1,0,1
3248000,3168000,3168000,0,0.0,0.0,0.25,0.25,0.009970082,0.35358185,0.54794264,0.5454707,2.0156718e-05,0.025466306,0,1,0,1
3456000,3376000,3376000,0,0.0,0.0,0.25,0.25,-0.005116432,0.47199693,0.5370536,0.5308531,5.4159455e-06,0.046629578,0,1,0,1
3664000,3584000,3584000,0,0.0,0.0,0.25,0.25,-0.022487683,0.5473667,0.5265413,0.5180342,0.0001067123,0.064262226,0,1,0,1
3872000,3792000,3792000,0,0.0,0.0,0.25,0.25,-0.033059895,0.58938265,0.51549625,0.50704867,0.00023557809,0.07612066,0,1,0,1
4080000,4000000,4000000,0,0.0,0.0,0.25,0.25,-0.039670855,0.6052091,0.5039393,0.49733102,0.00034699435,0.08183194,0,1,0,1
4288000,4208000,4208000,0,0.0,0.0,0.25,0.25,-0.04503133,0.6002023,0.49268982,0.4886888,0.0004573129,0.08190689,0,1,0,1
4496000,4416000,4416000,0,0.0,0.0,0.25,0.25,-0.053749118,0.5802491,0.48271605,0.48067766,0.0006649798,0.077827394,0,1,0,1
4704000,4624000,4624000,0,0.0,0.0,0.25,0.25,-0.0675008,0.5491796,0.47482026,0.47324523,0.0010662182,0.07081089,0,1,0,1
4912000,4832000,4832000,0,0.0,0.0,0.25,0.25,-0.08594887,0.5108843,0.46950376,0.46619064,0.0017482308,0.062206965,0,1,0,1
5120000,5040000,5040000,0,0.0,0.0,0.25,0.25,-0.10705546,0.4673354,0.46693665,0.45966274,0.0027272014,0.052792903,0,1,0,1
5328000,5248000,5248000,0,0.0,0.0,0.25,0.25,-0.12770765,0.42143568,0.46683362,0.4537148,0.0038817641,0.043494783,0,1,0,1
5536000,5456000,5456000,0,0.0,0.0,0.25,0.25,-0.1432315,0.37206635,0.468561,0.44854838,0.004864838,0.0342917,0,1,0,1
5744000,5664000,5664000,0,0.0,0.0,0.25,0.25,-0.14970878,0.31994858,0.4711092,0.44413826,0.0052860393,0.025609417,0,1,0,1
5952000,5872000,5872000,0,0.0,0.0,0.25,0.25,-0.14587776,0.26629853,0.47334248,0.4401662,0.004995284,0.017901042,0,1,0,1
6160000,6080000,6080000,0,0.0,0.0,0.25,0.25,-0.13465838,0.21414094,0.47428304,0.43629164,0.004248021,0.01167831,0,1,0,1
6368000,6288000,6288000,0,0.0,0.0,0.25,0.25,-0.11890389,0.1646393,0.47339725,0.4321703,0.0033183629,0.0069689853,0,1,0,1
6576000,6496000,6496000,0,0.0,0.0,0.25,0.25,-0.10257708,0.11971728,0.47066003,0.4277376,0.0024839959,0.0037230058,0,1,0,1
6784000,6704000,6704000,0,0.0,0.0,1e-04,1e-04,0.010079386,0.024494654,0.040048104,0.03760473,0.00028186664,0.0017727913,0,1,0,1
