timestamp,time_estimate,safe_time_estimate,valid
1056000,0.0,0.0,0
2064000,0.0,0.0,0
3080000,0.0,0.0,0
4088000,0.0,0.0,0
5096000,0.0,0.0,0
6104000,0.0,0.0,0
7112000,0.24802236,100.27283,1
8120000,0.040539518,100.04459,1
9128000,0.16948831,100.18644,1
10136000,0.25359622,100.27895,1
11144000,0.28411025,100.31252,1
12152000,0.30336937,100.33371,1
13160000,0.3053471,100.335884,1
14168000,0.32133248,100.35346,1
15176000,0.2857469,100.31432,1
16184000,0.30165577,100.33182,1
17240000,0.3256511,100.358215,1
18248000,0.32667187,100.35934,1
19256000,0.30440664,100.33485,1
20264000,0.3027842,100.33306,1
21272000,0.31998938,100.35199,1
22280000,0.30904853,100.33995,1
23288000,0.27954757,100.3075,1
24336000,0.29605684,100.32566,1
25344000,0.28141993,100.30956,1
26352000,0.29609233,100.3257,1
27360000,0.31341624,100.34476,1
28368000,0.3501905,100.38521,1
29376000,0.34770495,100.38248,1
30384000,0.3383758,100.372215,1
31392000,0.31190026,100.343094,1
32400000,0.28262034,100.31088,1
33408000,0.24207273,100.26628,1
34448000,0.26816702,100.29498,1
35456000,0.24708137,100.27179,1
36464000,0.20382226,100.224205,1
37472000,0.21729314,100.23902,1
38480000,0.22068837,100.24276,1
39488000,0.058545966,100.0644,1
40496000,0.018980568,100.02088,1
41504000,0.049158435,100.05408,1
42512000,0.67554,100.743095,1
43520000,1.8813882,102.06953,1
44536000,2.5420825,102.79629,1
45544000,2.9147568,103.20623,1
46552000,3.118963,103.43086,1
47560000,3.2370653,103.560776,1
48568000,3.346375,103.681015,1
49576000,3.3807085,103.71878,1
50584000,3.3859725,103.72457,1
51592000,3.397539,103.73729,1
52600000,3.4293432,103.77228,1
53608000,3.4192724,103.7612,1
54616000,3.4212453,103.76337,1
55624000,3.4206507,103.76272,1
56632000,3.4088678,103.749756,1
57640000,3.4104707,103.75152,1
58648000,3.430473,103.77352,1
59656000,3.4036605,103.744026,1
60664000,3.4136796,103.75505,1
61672000,3.3823047,103.720535,1
62680000,3.3786545,103.71652,1
63688000,3.3858302,103.72441,1
64696000,3.3923798,103.73162,1
65704000,3.3885,103.72735,1
66712000,3.382882,103.72117,1
67720000,3.372153,103.709366,1
68728000,3.361752,103.69793,1
69736000,3.343299,103.67763,1
70744000,3.3030097,103.63331,1
71752000,3.2853103,103.61384,1
72760000,3.270939,103.59803,1
73768000,3.2758873,103.60348,1
74776000,3.2612026,103.587326,1
75784000,3.2682517,103.59508,1
76792000,3.2864876,103.615135,1
77800000,3.2835774,103.61194,1
78808000,3.2880852,103.6169,1
79816000,3.3201447,103.65216,1
80824000,3.3312144,103.66434,1
81832000,3.3399587,103.67396,1
82840000,3.3596632,103.69563,1
83848000,3.350218,103.68524,1
84856000,3.3564632,103.69211,1
85864000,3.376883,103.71457,1
86872000,3.3703303,103.70737,1
87880000,3.3797789,103.71776,1
88888000,3.3840134,103.72241,1
89896000,3.3943746,103.73381,1
90904000,3.3821886,103.720406,1
91912000,3.3645144,103.700966,1
92920000,3.3565414,103.69219,1
93928000,3.347842,103.682625,1
94936000,3.338852,103.67274,1
95944000,3.339825,103.673805,1
96952000,3.3118515,103.643036,1
97960000,3.2891297,103.61804,1
98968000,3.2809217,103.60902,1
99984000,2.6914613,102.96061,1
100992000,1.6442158,101.80864,1
102000000,4.04558,104.450134,1
103008000,4.679247,105.14717,1
104016000,4.780789,105.258865,1
105024000,4.851973,105.33717,1
106032000,0.0051773656,100.00569,1
